weight_class,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,gender,B_Reach_cms
7.0,4.174387269895637,3.3418364060953727,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.899444223221286,3.8669602607912315,2.8606371589532857,0.0,5.817944146267096,5.707110264748875,4.493695640076776,2.1832383353614797,2.164945454433214,1.7994154308442636,0.0,5.817944146267096,5.8027224225111045,5.707110264748875,3.713572066704308,1.0,5.825468992912801
5.0,4.510344263912064,3.4749704763220963,4.957311430726282,4.5313386179389274,3.5286556828419573,4.433324811862011,1.6015947349730746,1.121779347949644,4.852274374747145,4.496418510174195,3.4620670714861883,1.3862943611198906,5.8027224225111045,5.602118820879701,4.872091359648189,3.120435752054948,2.922825502745903,2.231357583705678,0.0,5.810362246718757,5.832937638879745,5.655991810819852,3.912023005428146,1.0,5.78726541179471
6.0,4.174387269895637,3.3418364060953727,4.5067301131748385,4.457250055911469,3.817712325956905,3.914519885626733,2.1289754768021125,1.791759469228055,3.899444223221286,3.8669602607912315,2.8606371589532857,0.0,5.817944146267096,5.655991810819852,4.493695640076776,2.1832383353614797,2.164945454433214,1.7994154308442636,0.0,5.825468992912801,5.817944146267096,5.655991810819852,3.9318256327243257,1.0,5.825468992912801
6.0,3.6435306273695063,2.7428541232969024,3.960813169597578,3.971175956633125,3.390199627452614,3.393616636954243,2.0355223077450004,1.6961888388427553,3.284780599755919,3.228207152297085,1.995975010656746,1.6094379124341003,5.795023781753144,5.707110264748875,4.8397761279525895,2.2171494004528824,2.2570514347661,1.7427865643635359,1.9459101490553132,5.8027224225111045,5.825468992912801,5.655991810819852,3.9889840465642745,1.0,5.779446378577191
3.0,4.5464791184548705,3.7707609149557864,4.636382088642329,4.843083038491549,4.281648397116684,4.346158449809152,2.435209702544724,2.3259429737626585,4.054155607036253,4.259438907838489,3.315915686886667,0.0,5.763622475012218,5.5254529391317835,5.13460286970318,3.2655804825466115,3.2219959522044443,2.7813393857599666,1.3862943611198906,5.74754414409507,5.771565725958661,5.5254529391317835,3.9318256327243257,1.0,5.763622475012218
6.0,4.30406509320417,3.7376696182833684,4.477336814478207,4.663439094112067,4.290459441148391,3.9318256327243257,2.8903717578961645,2.8903717578961645,3.258096538021482,3.5553480614894135,2.3978952727983707,0.0,5.8027224225111045,5.655991810819852,5.350857929647475,3.607957453725841,3.1499945542964927,2.6130524724799304,0.6931471805599453,5.8027224225111045,5.84035091743822,5.655991810819852,3.9318256327243257,1.0,5.8027224225111045
5.0,4.1588830833596715,2.833213344056216,4.653960350157523,4.276666119016055,3.2188758248682006,3.828641396489095,2.5649493574615367,1.3862943611198906,3.6375861597263857,4.0943445622221,2.772588722239781,0.0,5.78726541179471,5.564520407322694,4.3331974072414905,1.9636097261547143,2.772588722239781,2.1102132003465894,0.6931471805599453,5.810362246718757,5.847709643462844,5.602118820879701,3.912023005428146,1.0,5.755615623296218
6.0,4.406719247264253,3.4420193761824107,4.848116364598481,4.54063166485052,3.6951100038645723,4.2520603082138555,2.1400661634962708,1.55814461804655,4.51085950651685,4.241326752570746,3.1986731175506815,0.6931471805599453,5.810362246718757,5.655991810819852,4.557816489604621,2.7880929087757464,2.063693184711697,1.6817585740137264,0.0,5.817944146267096,5.825468992912801,5.655991810819852,3.8501476017100584,1.0,5.825468992912801
2.0,4.204692619390966,3.3096301881366648,4.454347296253507,4.370238678921839,3.6210020317108507,4.058285512406398,1.55814461804655,1.3862943611198906,4.183956720911787,4.066887715989061,3.0881975012260847,0.0,5.763622475012218,5.484796933490655,4.795851074498302,2.222404029395603,2.590352611014,2.2782183550351434,0.0,5.755615623296219,5.763622475012218,5.484796933490655,3.9889840465642745,1.0,5.763622475012218
8.0,2.5257286443082556,1.791759469228055,3.2771447329921766,2.5257286443082556,1.791759469228055,2.4849066497880004,0.0,0.0,3.1986731175506815,2.0149030205422647,0.6931471805599453,0.0,5.795023781753144,5.707110264748875,4.493695640076776,2.1832383353614797,2.164945454433214,1.7994154308442636,0.0,5.825468992912801,5.825468992912801,5.771441123130016,3.871201010907891,1.0,5.810362246718757
